zapoteco,español,categoria,audio
abandein perdid,ya lo echaron a perder,frase,a_bandein_perdid.mp3
a bragel,ya amaneció,frase,a_bragel.mp3
a don nu ni inablas,haber si hay quien se acuerda,frase,a_don_nu_ni_inablas.mp3
a gukbe,ya supe (ya me di cuenta),frase,a_gukbe.mp3
a lain carruni,el esta corriendo,frase,a_lain_carruni.mp3
a sia,ya me voy ,frase,asia.mp3
a ubin,ya regreso,frase,aubin.mp3
a ubiz de yag,ya se seco la leña (o el arbol),frase,a_ubiz_de_yag.mp3
a vion,ya fuimos,frase,a_vion.mp3
ab bllagú he,ya te cansaste?,frase,abllagú_he.mp3
ab cai,ya oscurecio,frase,ab_cai.mp3
ab seda,ya aprendí,frase,ab_seda.mp3
ab llagni nare,ya me canso,frase,abllagni_nare.mp3
ab zienia,ya senti,frase,ab_zienia.mp3
abana,ya lo hice,frase,a_bana.mp3
bcha,brujo(a),palabra,abcha.mp3
ab dagua,ya comi,frase,ab_dagua.mp3
a bedu he,ya viniste?,frase,abedu_he.mp3
abllaga,ya me canse,frase,abllaga.mp3
a brain,ya se acabo,frase,abrain.mp3
ab sun,ya llego,frase,absun.mp3
abllagini,ya se canso,frase,ab_llagni.mp3
acanit in,ya se esta perdiendo,frase,aca_nit_in.mp3
acut' rrutin,ya no sirve,frase,a_cut_rrutin.mp3
aguá,ya fui,frase,aguá.mp3
amer icai,ya mero va a obscurecer,frase,amer_icai.mp3
arcabeza liu,ya te estoy esperando,frase,ar_cabeza_liu.mp3
araciu he,ya estas dormiendo?,frase,a_raciu_he.mp3
rcasa tib nash,quiero algo dulce,frase,arcasa_tib_nash.mp3
ast lli,hasta mañana,frase,ast_lli.mp3
ati bitin,no ha regresado,frase,at_i_bitin.mp3
aubi dein,ya regresaron,frase,aubi_dein.mp3
aubin he,ya regreso?,frase,aubin_he.mp3
aulla,ya es tarde,frase,aulla.mp3
aushi re,ya atardecio,frase,aushin_re.mp3
bsiu,aveja de castilla,frase,b_siu.mp3
based,semillas de calabaza,frase,ba_sed.mp3
baat,zorrillo,animal,baat.mp3
bad,pato,animal,bad.mp3
bald,cubeta,uticecilio,bald.mp3
bald gib,cubeta de fierro,utensilio,bald_gib.mp3
bán,hacer,palabra,ban.mp3
ban ní,hazlo,palabra,ban_ni.mp3
baan ,lodo,palabra,bann-.mp3
baunk,banco ,mueble,baunk.mp3
bay,rebozo,articulo de vestir,bay.mp3
bcie ,aguila,animal,bcie-.mp3
bdii,hormiga,animal,bdii.mp3
bede,gorgojo,animal,be_de.mp3
bedun,chuparrosa,animal,bedun.mp3
bee,hongo ,organismo de la tirra,bee.mp3
begich,mosca,insecto,be_gich.mp3
belad',,animal,be_lad-i.mp3
bech,zopilote,animal,bech.mp3
bech rudub ,cenzontle..,animal,bech_rudub.mp3
bedun,colibri,animal,bedun.mp3
bee yag,hormiga de palo,animal,bee_yag.mp3
beel,carne,alimento,bél.mp3
begueg,mosquito,insecto,begueg.mp3
bél,pezcado,animal vertebrado,bél.mp3
bel cuan,caldo de oregano,comida,bel_cuan.mp3
bel dia,culebra negra,animal,bel_dia.mp3
beld,culebra,animal,beld.mp3
ben duy,nanche ,fruta,ben_duy.mp3
best biau ,,animal,best_biau-.mp3
bets gie,topetosle,animal,bets_gie.mp3
betsia,piojo,animal,betsia.mp3
beú,coyote,animal,beu.mp3
beuku,perro,animal,beuku.mp3
beuri,chicharra,animal,beuri.mp3
be ya ,moscon,animal,beya-.mp3
bgal chein,cuanto costara ,frase,bgal_chein.mp3
bgit,gato,animal,bgit.mp3
biaz,ciruela,fruta,biaz.mp3
bichi,chiquito,palabra,bi_chi.mp3
biá,nopal,alimento,biá.mp3
bini,pequeño,palabra,bini.mp3
biú,pulga,animal,biú.mp3
biub,arriera,animal,biub.mp3
bizlo,ojo,parte del cuerpo,biz_lo.mp3
black,cuanto cuesta?,frase,black.mp3
blackcha chein,cuanto ira a ser,frase,black_cha-chein.mp3
black reen,cuánto cuesta,frase,black_reen.mp3
blash bud',hoja santa,verdura,blash_bud.mp3
blash gel,hoja de aguacate,verdura,blash_gel.mp3
blian,conejo..,animal,blian.mp3
bragel,amanecer,frase,bra_gel.mp3
brau,chintete,animal,brau.mp3
bsa,frijol,alimento,bsa.mp3
bsa gits,frijol blanco,alimento,bsa_gits.mp3
bsa snia,frijol rojo,alimento,bsa_snia.mp3
bsagusa,frijol molido frito,frase,bsagusa.mp3
bsanu,hermano,palabra,bsanu.mp3
bsayu bsa,frijol molido (tostado),alimento,bsayu_bsa.mp3
bsherit,gorrion,animal,bsherit.mp3
bsián,muchos,palabra,bsian.mp3
bsian na dein a cut rnalastia,"son muchos 
ya no me acuerdo",frase,cut_rnalastia_.mp3
bsié,cacao,alimento,bsié.mp3
bsihay,ladrillo,material para construccion,bsihay.mp3
bsilas,descana,frase,bsilas.mp3
bsu,adobe,material para construccion,bsu.mp3
bsul,comal,articulo,bsul.mp3
bsun,llegar,palabra,bsun.mp3
btiush,tomate,verdura,btiush.mp3
btiush gel,tomatillo,verdura,btiush_gel.mp3
bud',pollo,animal,bud'.mp3
bud' cun,gallina,animal,bud'_cun.mp3
bud' gay,gallo,animal,bud'_gay.mp3
bud' gul,guagolote,animal,bud'_gul.mp3
bud' lach,guajolota,animal,bud'_lach.mp3
budgid,pollito,animal,budgid.mp3
bué,luna,satelite natural de la tierra,bue.mp3
bue nald,invierno (luna de frio),estacion del tiempo,bue_nald.mp3
bue nanda,verano (temporada de calor),estacion del tiempo,bue_nanda.mp3
bue niz gie,temporada de lluvia,estacion del tiempo,bue_niz_gie.mp3
buen durs,muy bien,frase,buen_durs.mp3
bun lash,gente del pueblo,frase,bun_lash.mp3
bun dan,gente de la sierra,frase,bun_dan.mp3
bun dizá,gente zapoteca,frase,bun_diza.mp3
bun gish,gente catrina,frase,bun_gish.mp3
bun gul,viejo (persona aduta),palabra,bun_gul.mp3
bun lasha,paisano gente de mi pueblo),palabra,bun_lalla.mp3
bun zac,buena persona,frase,bun_zac.mp3
bunn,gente,palabra,bunn.mp3
bun wish,gente de macuil,frase,bun-wish.mp3
bur,burro (asno),animal,bur.mp3
bzan,hermano,palabra,bzan.mp3
bzie yu,cacahuate ,fruta,bzie_yu.mp3
bziee,pozo,articulo,bziee.mp3
bzin,raton,animal,bzin.mp3
bzug ,gusano,animal,bzug-.mp3
cabsilas,esta descansando ,palabra,cabsilas.mp3
cachuch,gorra,articulo,cachuch.mp3
cacua,estoy echando,frase,cacua.mp3
cacuán,esta echando,frase,ca_cuán.mp3
cacuan get,esta echando tortillas,frase,ca_cuan_get.mp3
ca yab niz gie,esta lloviendo,frase,ca_yab_niz_gie.mp3
cayai,se esta cociendo,palabra,cayai.mp3
café,café ,bebida,café.mp3
cain gib,venir armado,frase,cain_gib.mp3
cald,caldo,comida,cald.mp3
cald gun,caldo de res,comida,cald_gun.mp3
cald bud',caldo de pollo,comida,cald_bud'.mp3
cald llil,caldo de borrego,comida,cald_llil.mp3
cali,adonde,palabra,cali.mp3
Cali bsedu dizá,¿Dónde aprendiste Zapoteco?,frase,bsedu_.mp3
cali chon,adonde vamos?,frase,cali_chon.mp3
cali chu,adonde vas?,frase,cali_chu.mp3
cali gu,adonde fuieste? ( en pasado),frase,cali_gu.mp3
cali  isuban,donde lo pongo?,frase,cali-_i-suban.mp3
